[orient_sd] processed cells
  - A2O1A1Ixp33_ASAP7_75t_R: oriented=8, ambiguous=0, tg_skipped=0
  - A2O1A1O1Ixp25_ASAP7_75t_R: oriented=10, ambiguous=0, tg_skipped=0
  - AND2x2_ASAP7_75t_R: oriented=6, ambiguous=0, tg_skipped=0
  - AND2x4_ASAP7_75t_R: oriented=6, ambiguous=0, tg_skipped=0
  - AND2x6_ASAP7_75t_R: oriented=6, ambiguous=0, tg_skipped=0
  - AND3x1_ASAP7_75t_R: oriented=8, ambiguous=0, tg_skipped=0
  - AND3x2_ASAP7_75t_R: oriented=8, ambiguous=0, tg_skipped=0
  - AND3x4_ASAP7_75t_R: oriented=8, ambiguous=0, tg_skipped=0
  - AND4x1_ASAP7_75t_R: oriented=10, ambiguous=0, tg_skipped=0
  - AND4x2_ASAP7_75t_R: oriented=10, ambiguous=0, tg_skipped=0
  - AND5x1_ASAP7_75t_R: oriented=12, ambiguous=0, tg_skipped=0
  - AND5x2_ASAP7_75t_R: oriented=12, ambiguous=0, tg_skipped=0
  - AO211x2_ASAP7_75t_R: oriented=10, ambiguous=0, tg_skipped=0
  - AO21x1_ASAP7_75t_R: oriented=8, ambiguous=0, tg_skipped=0
  - AO21x2_ASAP7_75t_R: oriented=8, ambiguous=0, tg_skipped=0
  - AO221x1_ASAP7_75t_R: oriented=12, ambiguous=0, tg_skipped=0
  - AO221x2_ASAP7_75t_R: oriented=12, ambiguous=0, tg_skipped=0
  - AO222x2_ASAP7_75t_R: oriented=14, ambiguous=0, tg_skipped=0
  - AO22x1_ASAP7_75t_R: oriented=10, ambiguous=0, tg_skipped=0
  - AO22x2_ASAP7_75t_R: oriented=10, ambiguous=0, tg_skipped=0
  - AO31x2_ASAP7_75t_R: oriented=10, ambiguous=0, tg_skipped=0
  - AO322x2_ASAP7_75t_R: oriented=16, ambiguous=0, tg_skipped=0
  - AO32x1_ASAP7_75t_R: oriented=12, ambiguous=0, tg_skipped=0
  - AO32x2_ASAP7_75t_R: oriented=12, ambiguous=0, tg_skipped=0
